Step,Date,Reward,CumulativeReward,Cash_after,AAPL_return,AAPL_weight,AAPL_close,GOOG_return,GOOG_weight,GOOG_close,MSFT_return,MSFT_weight,MSFT_close,Turnover,GrossExposure
0,2023-01-18,-0.009461245499551296,-0.009461245499551296,9918.53413015604,-0.005370073951780796,0.38333332538604736,133.48094177246094,-0.004123426042497158,0.38333332538604736,91.23766326904297,-0.018888909369707108,0.23333333432674408,231.11404418945312,0.19999997317790985,1.0
1,2023-01-19,0.006786831188946962,-0.002674414310604334,9989.321033271413,0.0004439970070961863,0.4183333218097687,133.5402069091797,0.023207783699035645,0.4183333218097687,93.35508728027344,-0.01645406149327755,0.16333332657814026,227.311279296875,0.14000000059604645,1.0
2,2023-01-20,0.03762645646929741,0.034952042158693075,10367.63116890924,0.019220514222979546,0.4428333342075348,136.10691833496094,0.057182446122169495,0.4428333342075348,98.693359375,0.035743534564971924,0.11433332413434982,235.43618774414062,0.09800002723932266,1.0
3,2023-01-23,0.020332276821136475,0.05528431897982955,10580.206763760776,0.023500367999076843,0.45998334884643555,139.30548095703125,0.019439876079559326,0.45998334884643555,100.61194610595703,0.009824397973716259,0.0800333246588707,237.74920654296875,0.06860002875328064,1.0
4,2023-01-24,-0.0053185815922915936,0.049965737387537956,10530.20536499432,0.010063175112009048,0.47198835015296936,140.70733642578125,-0.019760895520448685,0.47198835015296936,98.62376403808594,-0.002226154087111354,0.05602332577109337,237.21994018554688,0.048020001500844955,1.0
5,2023-01-25,-0.01604399085044861,0.03392174653708935,10377.356405590315,-0.004700806457549334,0.48039186000823975,140.0458984375,-0.024997420608997345,0.48039186000823975,96.1584243774414,-0.0059081027284264565,0.03921632841229439,235.81842041015625,0.03361401706933975,1.0
6,2023-01-26,0.020187022164463997,0.054108768701553345,10587.454764603337,0.014803474768996239,0.4862743020057678,142.1190643310547,0.025121478363871574,0.4862743020057678,98.57406616210938,0.030713582411408424,0.02745142951607704,243.06124877929688,0.0235297828912735,1.0
7,2023-01-27,0.014339061453938484,0.06844783015549183,10739.704887031925,0.013684256002306938,0.4903919994831085,144.06385803222656,0.015631215646862984,0.4903919994831085,100.11489868164062,0.000645353167783469,0.01921600103378296,243.21810913085938,0.01647082343697548,1.0
8,2023-01-30,-0.02612481452524662,0.04232301563024521,10484.92012049274,-0.020078126341104507,0.49327439069747925,141.17132568359375,-0.027405492961406708,0.49327439069747925,97.37120056152344,-0.021961672231554985,0.013451200909912586,237.8766326904297,0.011529582552611828,1.0
9,2023-01-31,0.014350347220897675,0.05667336285114288,10635.593920793368,0.009020943194627762,0.495292067527771,142.44482421875,0.019601982086896896,0.495292067527771,99.27986907958984,0.021012691780924797,0.009415840730071068,242.87506103515625,0.008070713840425014,1.0
